Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
kamB	ARO:3004102	16S rRNA methyltransferase (A1408)	aminoglycoside	target alteration	Methyltransferase enzyme first described in Streptoalloteichus tenebrarius. Confers resistance to aminoglycosides (esp. apramycin) through methylation of the 16S rRNA at A1408, thereby modifying the target.				
npmA	ARO:3002665	16S rRNA methyltransferase (A1408)	aminoglycoside	target alteration	NpmA is a plasmid-mediated aminoglycoside-resistance 16S rRNA methyltransferase by interfering w/ aminoglycoside binding w/ the A site of 16S rRNA through N-1 methylation at position A1408.				
armA	ARO:3000858	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	ArmA is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA, an aminoglycoside binding site.				
rmtA	ARO:3000859	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	RmtA is a 16S rRNA methyltransferase found in P. aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.				
rmtB	ARO:3000860	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	RmtB is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA, an aminoglycoside binding site.				
rmtC	ARO:3000861	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	RmtC is a rRNA methyltransferase found in Proteus mirabilis w/ high level resistance to similar to aminoglycosides, w/ the exception of non-4,6-disubstituted deoxystreptamines (streptomycin and neomycin). It has also been isolated in Salmonella enterica ser. Virchow. It is hypothesized to methylate G1405, like related methyltransferases RmtA, RmtB, and ArmA.				
rmtD	ARO:3002667	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	RmtD is a 16S rRNA methyltransferase found in P. aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.				
rmtD2	ARO:3004677	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	The first allele of a 16S rRNA methyltransferase gene, rmtD2, confers a high resistance to all clinically available aminoglycosides				
rmtE	ARO:3004678	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	Aminoglycoside-resistance gene				
rmtE2	ARO:3004679	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	16S rRNA mathyltransferase gene w/ a single nucleotide mutation compared to rmtE.				
